"ML_Model","LLM_Model","Disease","AUC","Seed"
"GLMNETRidge","Claude","KD_MISC",0.766666666666667,55
"GLMNETRidge","Claude","KD_MISC",0.803921568627451,56
"GLMNETRidge","Claude","KD_MISC",0.852941176470588,57
"GLMNETRidge","Claude","KD_MISC",0.82156862745098,58
"GLMNETRidge","Claude","KD_MISC",0.86078431372549,59
"GLMNETRidge","Claude","KD_MISC",0.923529411764706,60
"GLMNETRidge","Claude","KD_MISC",0.817647058823529,61
"GLMNETRidge","Claude","KD_MISC",0.898039215686275,62
"GLMNETRidge","Claude","KD_MISC",0.913725490196078,63
"GLMNETRidge","Claude","KD_MISC",0.841176470588235,64
"GLMNETRidge","Claude","KD_MISC",0.807843137254902,65
"GLMNETRidge","Claude","KD_MISC",0.907843137254902,66
"GLMNETRidge","Claude","KD_MISC",0.835294117647059,67
"GLMNETRidge","Claude","KD_MISC",0.888235294117647,68
"GLMNETRidge","Claude","KD_MISC",0.850980392156863,69
"GLMNETRidge","Claude","KD_MISC",0.923529411764706,70
"GLMNETRidge","Claude","KD_MISC",0.833333333333333,71
"GLMNETRidge","Claude","KD_MISC",0.858823529411765,72
"GLMNETRidge","Claude","KD_MISC",0.915686274509804,73
"GLMNETRidge","Claude","KD_MISC",0.864705882352941,74
"GLMNETRidge","Claude","KD_MISC",0.909803921568627,75
"GLMNETRidge","Claude","KD_MISC",0.82156862745098,76
"GLMNETRidge","Claude","KD_MISC",0.8,77
"GLMNETRidge","Claude","KD_MISC",0.890196078431372,78
"GLMNETRidge","Claude","KD_MISC",0.723529411764706,79
"GLMNETRidge","Claude","KD_MISC",0.837254901960784,80
"GLMNETRidge","Claude","KD_MISC",0.909803921568627,81
"GLMNETRidge","Claude","KD_MISC",0.964705882352941,82
"GLMNETRidge","Claude","KD_MISC",0.858823529411765,83
"GLMNETRidge","Claude","KD_MISC",0.847058823529412,84
"GLMNETRidge","Claude","KD_MISC",0.852941176470588,85
"GLMNETRidge","Claude","KD_MISC",0.905882352941176,86
"GLMNETRidge","Claude","KD_MISC",0.843137254901961,87
"GLMNETRidge","Claude","KD_MISC",0.805882352941176,88
"GLMNETRidge","Claude","KD_MISC",0.784313725490196,89
"GLMNETRidge","Claude","KD_MISC",0.835294117647059,90
"GLMNETRidge","Claude","KD_MISC",0.931372549019608,91
"GLMNETRidge","Claude","KD_MISC",0.982352941176471,92
"GLMNETRidge","Claude","KD_MISC",0.903921568627451,93
"GLMNETRidge","Claude","KD_MISC",0.841176470588235,94
"GLMNETRidge","Claude","KD_MISC",0.868627450980392,95
"GLMNETRidge","Claude","KD_MISC",0.903921568627451,96
"GLMNETRidge","Claude","KD_MISC",0.905882352941176,97
"GLMNETRidge","Claude","KD_MISC",0.872549019607843,98
"GLMNETRidge","Claude","KD_MISC",0.772549019607843,99
"GLMNETRidge","Claude","KD_MISC",0.943137254901961,100
"NNET","Claude","KD_MISC",0.92156862745098,1
"NNET","Claude","KD_MISC",0.872549019607843,2
"NNET","Claude","KD_MISC",0.850980392156863,3
"NNET","Claude","KD_MISC",0.786274509803922,4
"NNET","Claude","KD_MISC",0.888235294117647,5
"NNET","Claude","KD_MISC",0.847058823529412,6
"NNET","Claude","KD_MISC",0.784313725490196,7
"NNET","Claude","KD_MISC",0.886274509803922,8
"NNET","Claude","KD_MISC",0.886274509803922,9
"NNET","Claude","KD_MISC",0.77843137254902,10
"NNET","Claude","KD_MISC",0.880392156862745,11
"NNET","Claude","KD_MISC",0.811764705882353,12
"NNET","Claude","KD_MISC",0.933333333333333,13
"NNET","Claude","KD_MISC",0.63921568627451,14
"NNET","Claude","KD_MISC",0.829411764705882,15
"NNET","Claude","KD_MISC",0.882352941176471,16
"NNET","Claude","KD_MISC",0.82156862745098,17
"NNET","Claude","KD_MISC",0.888235294117647,18
"NNET","Claude","KD_MISC",0.864705882352941,19
"NNET","Claude","KD_MISC",0.81764705882353,20
"NNET","Claude","KD_MISC",0.876470588235294,21
"NNET","Claude","KD_MISC",0.858823529411765,22
"NNET","Claude","KD_MISC",0.925490196078431,23
"NNET","Claude","KD_MISC",0.684313725490196,24
"NNET","Claude","KD_MISC",0.894117647058824,25
"NNET","Claude","KD_MISC",0.813725490196078,26
"NNET","Claude","KD_MISC",0.949019607843137,27
"NNET","Claude","KD_MISC",0.86078431372549,28
"NNET","Claude","KD_MISC",0.688235294117647,29
"NNET","Claude","KD_MISC",0.950980392156863,30
"NNET","Claude","KD_MISC",0.898039215686275,31
"NNET","Claude","KD_MISC",0.788235294117647,32
"NNET","Claude","KD_MISC",0.754901960784314,33
"NNET","Claude","KD_MISC",0.382352941176471,34
"NNET","Claude","KD_MISC",0.829411764705882,35
"NNET","Claude","KD_MISC",0.805882352941176,36
"NNET","Claude","KD_MISC",0.805882352941176,37
"NNET","Claude","KD_MISC",0.941176470588235,38
"NNET","Claude","KD_MISC",0.77843137254902,39
"NNET","Claude","KD_MISC",0.711764705882353,40
"NNET","Claude","KD_MISC",0.83921568627451,41
"NNET","Claude","KD_MISC",0.929411764705882,42
"NNET","Claude","KD_MISC",0.931372549019608,43
"NNET","Claude","KD_MISC",0.849019607843137,44
"NNET","Claude","KD_MISC",0.858823529411765,45
"NNET","Claude","KD_MISC",0.735294117647059,46
"NNET","Claude","KD_MISC",0.905882352941176,47
"NNET","Claude","KD_MISC",0.86078431372549,48
"NNET","Claude","KD_MISC",0.872549019607843,49
"NNET","Claude","KD_MISC",0.833333333333333,50
"NNET","Claude","KD_MISC",0.847058823529412,51
"NNET","Claude","KD_MISC",0.925490196078431,52
"NNET","Claude","KD_MISC",0.945098039215686,53
"NNET","Claude","KD_MISC",0.82156862745098,54
"NNET","Claude","KD_MISC",0.8,55
"NNET","Claude","KD_MISC",0.811764705882353,56
"NNET","Claude","KD_MISC",0.645098039215686,57
"NNET","Claude","KD_MISC",0.803921568627451,58
"NNET","Claude","KD_MISC",0.82156862745098,59
"NNET","Claude","KD_MISC",0.913725490196078,60
"NNET","Claude","KD_MISC",0.809803921568627,61
"NNET","Claude","KD_MISC",0.558823529411765,62
"NNET","Claude","KD_MISC",0.909803921568627,63
"NNET","Claude","KD_MISC",0.827450980392157,64
"NNET","Claude","KD_MISC",0.858823529411765,65
"NNET","Claude","KD_MISC",0.905882352941176,66
"NNET","Claude","KD_MISC",0.850980392156863,67
"NNET","Claude","KD_MISC",0.874509803921569,68
"NNET","Claude","KD_MISC",0.798039215686274,69
"NNET","Claude","KD_MISC",0.864705882352941,70
"NNET","Claude","KD_MISC",0.817647058823529,71
"NNET","Claude","KD_MISC",0.686274509803922,72
"NNET","Claude","KD_MISC",0.811764705882353,73
"NNET","Claude","KD_MISC",0.733333333333333,74
"NNET","Claude","KD_MISC",0.911764705882353,75
"NNET","Claude","KD_MISC",0.67843137254902,76
"NNET","Claude","KD_MISC",0.705882352941177,77
"NNET","Claude","KD_MISC",0.886274509803922,78
