"GeneName","Padj"
"RP5-1056L3.1",0.000140783900881088
"NBL1",0.000141236543253346
"MICOS10-NBL1",0.000142292950313051
"RP5-1056L3.3",0.000142882999416239
"HTR6",0.000142882999416239
"TMCO4",0.000142882999416239
"RNF186",0.000144435249127937
"RP11-91K11.2",0.000146153904346903
"OTUD3",0.000146218025312316
"PLA2G2E",0.000146218025312316
"RN7SL304P",0.000146218025312316
"PLA2G2A",0.000147350626763874
"PLA2G5",0.000147704912215145
"PLA2G2D",0.000147704912215145
"PLA2G2F",0.000147704912215145
"RP3-340N1.2",0.000147704912215145
"PLA2G2C",0.00014813902666031
"UBXN10",0.000148357077144354
"LINC01757",0.000148861611233046
"RP3-340N1.7",0.000148861611233046
"VWA5B1",0.000149859009187107
"RP4-745E8.2",0.000149859009187107
"LINC01141",0.000150413564076804
"RP4-749H3.2",0.000153648132456724
"RP4-749H3.4",0.000154162889048185
"RP4-749H3.3",0.00015544778344653
"CAMK2N1",0.000156718372613648
"MUL1",0.000157439836930917
"FAM43B",0.000158016298852497
"CDA",0.00015835517857366
"PINK1",0.00015835517857366
"MIR6084",0.0001589543378277
"PINK1-AS",0.000160025692130621
"DDOST",0.000161625067387647
"KIF17",0.000163165656463115
"RP5-930J4.5",0.000168645530002853
"SH2D5",0.000169132658025264
"RP5-930J4.2",0.000169457774040273
"HP1BP3",0.000169457774040273
"EIF4G3",0.000169556154453577
"RNU7-200P",0.000169556154453577
"MIR1256",0.000169639717905185
"RP11-487E1.2",0.000171762614210743
"HSPE1P27",0.000171762614210743
"RP3-329E20.3",0.000171762614210743
"ECE1",0.000174820766192499
"RP3-329E20.2",0.00017826036254569
"ECE1-AS1",0.000178298869898112
"PPP1R11P1",0.000178298869898112
"PDE4DIPP10",0.000180908000080236
"RP11-293F5.1",0.000181969942275995
"NBPF2P",0.000182711817501894
"HS6ST1P1",0.000184901817902576
"CROCCP5",0.000184982189989467
"NBPF3",0.000185529971394695
"PFN1P10",0.000185912753851439
"ALPL",0.000186419956034184
"LINC02596",0.000186419956034184
"RAP1GAP",0.000189308801554132
"USP48",0.000189839859034512
"RP11-132G19.3",0.000189839859034512
"LDLRAD2",0.000191025487922147
"HSPG2",0.000191160469151926
"RP11-26H16.1",0.00019227749876037
"RP11-26H16.4",0.00019227749876037
"CELA3B",0.000193057334769252
"RP1-224A6.11",0.000193057334769252
"RN7SL386P",0.000193057334769252
"RNU6-1022P",0.000193316918846821
"CELA3A",0.000193316918846821
"RN7SL186P",0.00019554093625746
"RNU6-776P",0.000197377855838168
"LINC01635",0.000199169911563863
"LINC00339",0.000199967910848132
"CDC42",0.000202347706663612
"CDC42-AS1",0.000203140962427454
"RP1-224A6.10",0.000203167703391069
"CDC42-IT1",0.000203673780396539
"MPHOSPH6P1",0.000203673780396539
"WNT4",0.000204619228459748
"RP1-163O16.1",0.000204619228459748
"MIR4418",0.000205208950312046
"PPIAP34",0.00020553242997345
"RP11-415K20.2",0.000207535807051856
"ZBTB40",0.000209233576365705
"ZBTB40-IT1",0.000210027223208241
"EPHA8",0.000212361065189373
