"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"EXTRATREES","KD/MIS-C","GPT 4o Short","Gemini Advanced 2.0 Flash Long",100,0.806607843137255,0.876598039215686,99,4.61890707038247e-11,1.7416597102409e-10
"EXTRATREES","KD/MIS-C","GPT 4o Short","Gemini Advanced 2.0 Flash Short",100,0.806607843137255,0.857813725490196,99,2.15528286956588e-06,5.97959576617364e-06
"EXTRATREES","KD/MIS-C","GPT 4o Short","Random",100,0.806607843137255,0.775274509803922,99,0.00289960242712987,0.00577447501601017
"EXTRATREES","KD/MIS-C","GPT o3 Long","GPT o3 Short",56,0.891141456582633,0.89546568627451,55,0.199672361649647,0.27419796142029
"EXTRATREES","KD/MIS-C","GPT o3 Long","Gemini 2.5 Pro Long",56,0.891141456582633,0.877696078431373,55,0.00559509959086952,0.010666635393208
"EXTRATREES","KD/MIS-C","GPT o3 Long","Gemini 2.5 Pro Short",54,0.893500363108206,0.875417574437182,53,0.0128062250587511,0.0230613419593605
"EXTRATREES","KD/MIS-C","GPT o3 Long","Gemini Advanced 2.0 Flash Long",56,0.891141456582633,0.880602240896359,55,0.0328795277699493,0.0545992158223611
"EXTRATREES","KD/MIS-C","GPT o3 Long","Gemini Advanced 2.0 Flash Short",56,0.891141456582633,0.858245798319328,55,0.000399837313654501,0.000894717923177696
"EXTRATREES","KD/MIS-C","GPT o3 Long","Random",56,0.891141456582633,0.776190476190476,55,9.87675095749516e-15,4.84955577589241e-14
"EXTRATREES","KD/MIS-C","GPT o3 Short","Gemini 2.5 Pro Long",100,0.889009803921569,0.874186274509804,99,0.000343818839479496,0.00078349368262022
"EXTRATREES","KD/MIS-C","GPT o3 Short","Gemini 2.5 Pro Short",98,0.889965986394558,0.8656262505002,97,0.00037616398869239,0.000845904192034782
"EXTRATREES","KD/MIS-C","GPT o3 Short","Gemini Advanced 2.0 Flash Long",100,0.889009803921569,0.876598039215686,99,0.00467177554395734,0.00901976466407605
"EXTRATREES","KD/MIS-C","GPT o3 Short","Gemini Advanced 2.0 Flash Short",100,0.889009803921569,0.857813725490196,99,2.79586461761509e-06,7.69426452226732e-06
"EXTRATREES","KD/MIS-C","GPT o3 Short","Random",100,0.889009803921569,0.775274509803922,99,1.61367814998904e-24,1.40297495206053e-23
